,...1,...2,validName,q5,q5_low,q5_high,q50,q50_low,q50_high,q95,q95_low,q95_high,year,id_cells,ndstcol,dstdoy,nObs,q5_CI,q50_CI,q95_CI,gcode,annualTemp,tempSeas,annualPrec,precSeas,overwinteringStage,voltinism,diurnality,WikiName,OrigSyn,decade,onset,offset,origin,onsetdate,Year,offsetdate,UnusualWarmDaysOnset,UnusualColdDaysOnset,UnusualWarmOnOff,UnusualColdOnOff,UnusualWarmSum,UnusualColdSum,duration,Seas,GDDOnsetSum,GDDOffsetSum,GDDOnOffSum,annualTemp_unscaled,tempSeas_unscaled,annualPrec_unscaled,precSeas_unscaled,UnusualWarmDaysOnset_unscaled,UnusualColdDaysOnset_unscaled,UnusualWarmOnOff_unscaled,UnusualColdOnOff_unscaled,UnusualWarmSum_unscaled,UnusualColdSum_unscaled
26,35,36,Ancyloxypha numitor,187,167,206,230,216,233,257.2,245.4,263,1.029919564,166,1.21937208,1.205146725,25,39,17,17.6,Ancyloxypha numitor.1998.166,0.620926387,-1.416238842,0.663167953,-0.307915439,L,M,D,NA,NA,1990,187,257,12/31/1997,7/6/1998,1998,9/14/1998,-0.654742524,0.020049359,0.633072815,-0.641138474,-0.049411921,-0.390994519,70,Summer,818.8824831,1197.199362,2016.081845,156.8041249,7822.783828,1120.979055,0.434723649,0,1,2,0,2,1
27,36,37,Ancyloxypha numitor,161.6,160,162,223,166,229,237,229,237,0.530416389,163,-0.639007591,-0.319891716,17,2,63,8,Ancyloxypha numitor.1990.163,-0.105506579,-1.215515397,0.360271939,-1.413373617,L,M,D,NA,NA,1990,161,237,12/31/1989,6/10/1990,1990,8/25/1990,2.15960911,-0.615307914,0.02640554,0.053680226,1.601844636,-0.390994519,76,Summer,522.6509732,1228.324696,1750.97567,138.9516525,8049.45429,1060.125687,0.331823584,5,0,1,1,6,1
28,37,38,Ancyloxypha numitor,169.9,160,171.9,227,189,237,260.1,249,262,0.967481667,166,1.683966998,1.791699972,40,11.9,48,13,Ancyloxypha numitor.1997.166,-0.00767529,-0.762614608,-0.008803027,-0.710956298,L,M,D,NA,NA,1990,169,260,12/31/1996,6/18/1997,1997,9/17/1997,-0.654742524,-0.615307914,-0.580261735,0.748498926,-0.875040199,0.047740478,91,Summer,513.7290481,1478.767982,1992.49703,141.3559079,8560.900429,985.9766272,0.397207141,0,0,0,2,0,2
29,38,39,Anthocharis midea,113,NA,NA,125,113,128,143.4,127.6,149,0.842605874,166,0.290182245,-0.437202366,9,249,15,21.4,Anthocharis midea.1995.166,0.244219979,-0.008285572,-0.22645388,0.308008459,P,U,D,NA,NA,1990,113,143,12/31/1994,4/23/1995,1995,5/23/1995,-0.654742524,0.020049359,-0.580261735,-0.641138474,-0.875040199,-0.390994519,30,Spring,104.8553758,227.6781735,332.5335492,147.5463667,9412.739689,942.2494508,0.492056084,0,1,0,0,0,1
30,39,40,Anthocharis midea,108,NA,NA,108,NA,NA,122.5,114,127,-0.655903653,148,-0.639007591,-0.789134314,19,249,336,13,Anthocharis midea.1971.148,0.728021925,-1.077530901,0.347503022,0.822503281,P,U,D,NA,NA,1970,108,122,12/31/1970,4/18/1971,1971,5/2/1971,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,14,Spring,137.5336573,98.4382599,235.9719172,159.4360541,8205.275696,1057.560346,0.539947132,0,0,0,0,0,0
31,40,41,Anthocharis midea,100.4,100,102,105,100,120,124.8,104.4,126,-0.156400477,88,-0.406710132,-0.671823664,5,2,20,21.6,Anthocharis midea.1979.88,2.754054928,-1.888911189,2.245980293,0.747878606,P,U,D,NA,NA,1970,100,124,12/31/1978,4/10/1979,1979,5/4/1979,-0.654742524,0.020049359,-0.580261735,-0.641138474,-0.875040199,-0.390994519,24,Spring,433.190144,312.5558441,745.7459881,209.2268813,7289.010311,1438.974199,0.533000796,0,1,0,0,0,1
32,41,42,Anthocharis midea,94.4,94,97.8,113,94,114,135.6,110,141,-0.218838374,166,-0.639007591,-0.671823664,5,3.8,20,31,Anthocharis midea.1978.166,-0.267959572,0.025642235,0.566595156,0.868712983,P,U,D,NA,NA,1970,94,135,12/31/1977,4/4/1978,1978,5/15/1978,-0.654742524,0.020049359,-0.580261735,0.748498926,-0.875040199,0.486475476,41,Spring,20.2329133,164.6875693,184.9204826,134.9592847,9451.053259,1101.577083,0.544248499,0,1,0,2,0,3
33,42,43,Anthocharis midea,110,NA,NA,114,110,114,119,112.35,119,-0.531027859,147,-0.639007591,-0.789134314,12,249,4,6.65,Anthocharis midea.1973.147,1.452489045,-0.600705564,0.599285861,-0.604566436,P,U,D,NA,NA,1970,110,119,12/31/1972,4/20/1973,1973,4/29/1973,-0.654742524,0.020049359,-0.580261735,-0.641138474,-0.875040199,-0.390994519,9,Spring,220.7800169,102.9396974,323.7197143,177.2402148,8743.739049,1108.144814,0.407110296,0,1,0,0,0,1
34,43,44,Anthocharis midea,93,NA,NA,112,100,116,126,116,126,-0.031524684,166,-0.406710132,0.032040232,21,249,16,10,Anthocharis midea.1981.166,0.035707215,-0.087202397,-0.12108528,0.768385787,P,U,D,NA,NA,1980,93,126,12/31/1980,4/3/1981,1981,5/6/1981,2.15960911,-0.615307914,0.02640554,0.053680226,1.601844636,-0.390994519,33,Spring,67.24459088,191.8847421,259.129333,142.4220558,9323.621484,963.4185448,0.534909679,5,0,1,1,6,1
35,44,45,Apamea sordens,156,NA,NA,168,161,169,199,169.4,199,-0.968093138,162,-0.174412673,-0.319891716,13,249,8,29.6,Apamea sordens.1966.162,-0.598533674,0.890021283,-1.149994516,-0.050810781,L,U,N,Apamea sordens,Apamea basilinea,1960,156,199,12/31/1965,6/5/1966,1966,7/18/1966,-0.654742524,1.926121178,-0.580261735,-0.641138474,-0.875040199,0.925210473,43,Summer,325.1180287,741.6569787,1066.775007,126.8352522,10427.16842,756.7053848,0.458655885,0,4,0,0,0,4
36,45,46,Apamea sordens,145.6,142,151,159,142,159,159,155.8,155.8,-1.030531035,162,-0.639007591,-0.789134314,9,9,17,0,Apamea sordens.1965.162,-0.571765091,0.73491263,-0.56540561,-0.146221667,L,U,N,Apamea sordens,Apamea basilinea,1960,145,159,12/31/1964,5/25/1965,1965,6/8/1965,-0.654742524,0.020049359,-0.580261735,-0.641138474,-0.875040199,-0.390994519,14,Summer,375.0594782,174.642964,549.7024422,127.4931042,10252.00926,874.1523041,0.449774693,0,1,0,0,0,1
37,46,47,Apantesis phalerata,113.25,110,118.25,183.5,124,240,254.75,240,258,-0.531027859,86,-0.174412673,0.38397218,14,8.25,116,18,Apantesis phalerata.1973.86,3.110081852,-1.47395626,3.963312125,1.559749987,L,M,D,Apantesis phalerata,"Arctia phalerata Harris, 1841",1970,113,254,12/31/1972,4/23/1973,1973,9/11/1973,-0.654742524,0.655406632,-0.580261735,2.138136325,-0.875040199,1.802680468,141,Summer,565.6482095,2748.376412,3314.024622,217.9764303,7757.605424,1783.995001,0.608572735,0,2,0,4,0,6
38,47,48,Apantesis phalerata,163.75,163,167.75,238,166.5,238,248,245,254,-0.968093138,162,-0.406710132,-0.085270418,16,4.75,71.5,9,Apantesis phalerata.1966.162,-0.598533674,0.890021283,-1.149994516,-0.050810781,L,M,D,Apantesis phalerata,"Arctia phalerata Harris, 1841",1960,163,248,12/31/1965,6/12/1966,1966,9/5/1966,-0.654742524,1.926121178,-0.580261735,-0.641138474,-0.875040199,0.925210473,85,Summer,418.7612547,1411.376021,1830.137275,126.8352522,10427.16842,756.7053848,0.458655885,0,4,0,0,0,4
39,48,49,Asterocampa clyton,158.45,158,159,163.5,159.5,165.5,204.55,165.55,232,-1.405158416,166,-0.639007591,-0.202581067,10,1,6,66.45,Asterocampa clyton.1959.166,0.297219809,-0.055930392,0.352482775,-0.751524224,L,M,D,NA,NA,1950,158,204,12/31/1958,6/7/1959,1959,7/23/1959,2.15960911,-0.615307914,0.02640554,1.443317626,1.601844636,0.486475476,46,Summer,554.7428518,732.4010648,1287.143917,148.8488654,9358.935942,1058.560804,0.393430931,5,0,1,3,6,3
40,49,50,Asterocampa clyton,173.05,173,174.05,185.5,176,197,219.95,216.95,230,-0.156400477,162,0.290182245,0.149350881,22,1.05,21,13.05,Asterocampa clyton.1979.162,-0.833186012,1.292990369,-1.121620428,0.648408102,L,M,D,NA,NA,1970,173,219,12/31/1978,6/22/1979,1979,8/7/1979,0.47099813,-0.615307914,-0.580261735,0.748498926,-0.049411921,0.047740478,46,Summer,645.2193419,729.6755282,1374.89487,121.0685475,10882.22831,762.4058849,0.52374172,2,0,0,2,2,2
41,50,51,Asterocampa clyton,197.45,179,220,238.5,224,240,266.4,240,270,-0.531027859,88,-0.406710132,-0.319891716,10,41,16,30,Asterocampa clyton.1973.88,3.018979062,-2.02569193,2.337837478,0.081139073,L,M,D,NA,NA,1970,197,266,12/31/1972,7/16/1973,1973,9/23/1973,-0.654742524,1.290763905,-0.580261735,-0.641138474,-0.875040199,0.486475476,69,Summer,1156.10412,1432.039372,2588.143492,215.7375313,7134.548266,1457.42878,0.470938257,0,3,0,0,0,3
42,52,53,Autographa precationis,150.45,136,153,162,153,181.5,225,188.3,225,0.343102698,163,0.290182245,0.032040232,18,17,28.5,36.7,Autographa precationis.1987.163,-0.089433055,0.171930403,-0.771703652,0.047926747,L,M,N,Autographa precationis,Plusia precationis,1980,150,225,12/31/1986,5/30/1987,1987,8/13/1987,-0.091872197,-0.615307914,0.633072815,0.053680226,0.363402218,-0.390994519,75,Summer,488.6146105,1341.526415,1830.141025,139.3466678,9616.251731,832.705966,0.467846733,1,0,2,1,3,1
43,53,54,Autographa precationis,131,NA,NA,231,196,263,270.8,263,273,0.280664801,163,-0.406710132,-0.202581067,12,249,67,10,Autographa precationis.1986.163,-0.479132304,0.323270428,-0.347675279,-0.463159334,L,M,N,Autographa precationis,Plusia precationis,1980,131,270,12/31/1985,5/11/1986,1986,9/27/1986,1.596738783,0.020049359,0.02640554,2.832955025,1.189030497,1.802680468,139,Summer,300.1977154,2023.826802,2324.024518,129.7696037,9787.155102,917.895448,0.420272983,4,1,1,5,5,6
44,55,56,Biston betularia,146.3,143,149,160,151,165.5,231.45,165.25,232,-0.655903653,162,-0.639007591,0.032040232,12,6,14.5,66.75,Biston betularia.1971.162,-0.308227772,1.211241668,-1.65599482,0.553192954,P,M,N,Biston betularia,"Phalaena (Geometra) betularia Linnaeus, 1758",1970,146,231,12/31/1970,5/26/1971,1971,8/19/1971,-0.654742524,-0.615307914,0.633072815,0.748498926,-0.049411921,0.047740478,85,Summer,306.992937,1312.081795,1619.074732,133.9696725,10789.91216,655.0473199,0.514878748,0,0,2,2,2,2
45,56,57,Biston betularia,162.75,160,165,182.5,165,194,207.05,194,212,-0.593465756,185,-0.406710132,0.032040232,12,5,29,18,Biston betularia.1972.185,-1.338273126,0.344140476,1.266881405,-0.358038514,P,M,N,Biston betularia,"Phalaena (Geometra) betularia Linnaeus, 1758",1970,162,207,12/31/1971,6/10/1972,1972,7/25/1972,-0.654742524,-0.615307914,-0.580261735,0.748498926,-0.875040199,0.047740478,45,Summer,381.3030321,647.0811436,1028.384176,108.6557659,9810.722969,1242.268194,0.430058011,0,0,0,2,0,2
46,57,58,Biston betularia,142.2,140,164.2,211,164,216,219.9,217,221,-1.405158416,162,-0.406710132,0.032040232,12,24.2,52,4,Biston betularia.1959.162,-0.371477417,1.650902902,-0.472846175,-1.444955764,P,M,N,Biston betularia,"Phalaena (Geometra) betularia Linnaeus, 1758",1950,142,219,12/31/1958,5/22/1959,1959,8/7/1959,-0.654742524,-0.615307914,0.02640554,-0.641138474,-0.46222606,-0.829729516,77,Summer,341.294066,1227.807676,1569.101742,132.4152792,11286.4073,892.747971,0.328883803,0,0,1,0,1,0
47,58,59,Biston betularia,181.7,176,211.15,229,218,233,239.1,233.3,241,-1.342720519,162,-0.639007591,0.38397218,20,35.15,15,7.7,Biston betularia.1960.162,-0.642623163,1.080184323,-1.288359646,-0.150305972,P,M,N,Biston betularia,"Phalaena (Geometra) betularia Linnaeus, 1758",1960,181,239,12/31/1959,6/29/1960,1960,8/26/1960,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,58,Summer,645.0997886,922.8073398,1567.907128,125.7517298,10641.91336,728.907118,0.449394511,0,0,0,0,0,0
48,59,60,Boloria bellona,148.6,148,155.6,193,149,193,222.4,206,229,0.967481667,166,0.290182245,0.149350881,13,7.6,44,23,Boloria bellona.1997.166,-0.00767529,-0.762614608,-0.008803027,-0.710956298,L,M,D,Boloria bellona,Clossiana bellona,1990,148,222,12/31/1996,5/28/1997,1997,8/10/1997,-0.654742524,-0.615307914,-0.580261735,0.053680226,-0.875040199,-0.390994519,74,Summer,327.351578,1159.126205,1486.477783,141.3559079,8560.900429,985.9766272,0.397207141,0,0,0,1,0,1
49,60,61,Boloria bellona,141.95,140,150.8,190.5,170.5,214,242.4,219.25,258,0.842605874,166,0.057884786,0.26666153,14,10.8,43.5,38.75,Boloria bellona.1995.166,0.244219979,-0.008285572,-0.22645388,0.308008459,L,M,D,Boloria bellona,Clossiana bellona,1990,141,242,12/31/1994,5/21/1995,1995,8/30/1995,-0.654742524,0.020049359,1.239740089,-0.641138474,0.363402218,-0.390994519,101,Summer,267.2739833,1664.940309,1932.214292,147.5463667,9412.739689,942.2494508,0.492056084,0,1,3,0,3,1
